,job_title,company_name,location,hiring_status,date,seniority_level,job_function,employment_type,industry,salary_min,salary_max,company_size,applicants_count,experience_required_years
31301,"
            
        Executive Assistant
      
          ","
            United Breweries Ltd.
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-02-14,"
            Mid-Senior level
          ","
            Administrative
          ","
          Full-time
        ","
          Food and Beverage Services, Chemical Manufacturing, and Pharmaceutical Manufacturing
          ",144941.0,184758.0,,72.0,14.0
31302,React.js Developer,Coddle Technologies Pvt. Ltd.,"Bengaluru North, Karnataka, India",Actively Hiring,2023-02-22,Mid-Senior level,Engineering and Information Technology,Full-time,Information Services,166008.0,215802.0,4933.0,398.0,11.0
31303,Firmware Engineer,Intellectt Inc,"Plano, TX",Be an early applicant,2022-12-20,Mid-Senior level,Engineering and Information Technology,Contract,Medical Equipment Manufacturing,,146791.0,3446.0,347.0,3.0
31304,"Proposition ""Go to Market"" Manager - Content",Thomson Reuters,"Pyrmont, New South Wales, Australia",Be an early applicant,2023-04-20,Mid-Senior level,Writing/Editing,Full-time,"Online Audio and Video Media, Book and Periodical Publishing, and Broadcast Media Production and Distribution",106480.0,126742.0,4862.0,394.0,11.0
31305,"
            
        GCP Devops Engineer
      
          ","
            Capgemini
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-02-27,"
            Associate
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Computer and Network Security
          ",146439.0,,235.0,484.0,12.0
31306,"
            
        Data Analyst
      
          ","
            Zafin
          ","
            Thiruvananthapuram, Kerala, India
          ","
         Actively Hiring
      ",2023-03-07,"
            Mid-Senior level
          ","
            Information Technology
          ","
          Full-time
        ",,77312.0,113342.0,513.0,413.0,0.0
31307,Copy Writer - Advertising Firm,Genetic Callnet Consultancy Pvt. Ltd.,"Mumbai, Maharashtra, India",Be an early applicant,2023-03-07,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,IT Services and IT Consulting,184342.0,221464.0,4012.0,420.0,3.0
31308,"
            
        Software Engineer - Python (Remote)
      
          ","
            PriceLabs
          ","
            Pune, Maharashtra, India
          ","
         Actively Hiring
      ",2023-02-03,"
            Entry level
          ","
            Other
          ","
          Full-time
        ","
          Software Development
          ",114550.0,149226.0,,434.0,7.0
31309,Content Writer,Kape Technologies,"Bucharest, Romania",Actively Hiring,2023-04-04,Associate,Marketing and Writing/Editing,Full-time,Software Development,168652.0,195086.0,2248.0,299.0,13.0
31310,"
            
         Data Scientist
      
          ","
            Tata Consultancy Services
          ","
            India
          ","
         Actively Hiring
      ",2023-02-20,"
            Mid-Senior level
          ","
            Information Technology and Analyst
          ","
          Full-time
        ","
          Mental Health Care and Wellness and Fitness Services
          ",,79539.0,4213.0,106.0,1.0
31311,Managing Director - Independent Hospitality Group,Jubilee Hospitality,"Wootton, England, United Kingdom",Be an early applicant,2023-04-07,Executive,Other,Full-time,Entertainment Providers,60361.0,98388.0,1152.0,,0.0
31312,"
            
        India Regional Director
      
          ","
            IDinsight
          ","
            New Delhi, Delhi, India
          ","
         Actively Hiring
      ",2023-04-07,"
            Executive
          ","
            Product Management and Marketing
          ","
          Full-time
        ","
          Staffing and Recruiting
          ",31809.0,76218.0,1412.0,449.0,0.0
31313,Junior Machine Learning Engineer,Patterned Learning AI,"San Francisco, CA","
         Actively Hiring
      ",2023-04-09,Entry level,Engineering and Information Technology,Full-time,IT Services and IT Consulting,126478.0,132415.0,1997.0,258.0,7.0
31314,Office Manager,,"Canberra, Australian Capital Territory, Australia",Be an early applicant,2023-04-22,Mid-Senior level,Legal,Full-time,Accounting,183452.0,228104.0,181.0,,7.0
31315,Sr. Principal Data Scientist,Bloom Energy,"Fremont, CA",Actively Hiring,2023-03-31,Mid-Senior level,Engineering and Information Technology,Full-time,Renewable Energy Equipment Manufacturing,185185.0,225062.0,1532.0,216.0,4.0
31316,Assistant Corporate Accountant,,"Brisbane City, Queensland, Australia",Actively Hiring,2023-04-26,Not Applicable,Business Development and Sales,Part-time,Wellness and Fitness Services,193239.0,200334.0,4501.0,187.0,1.0
31317,"
            
        Graphic Designer
      
          ","
            The Leela Palaces, Hotels and Resorts
          ","
            Bengaluru, Karnataka, India
          ","
         Be an early applicant
      ",2023-03-16,"
            Entry level
          ","
            Design, Art/Creative, and Information Technology
          ","
          Full-time
        ","
          Entertainment Providers
          ",91101.0,106333.0,367.0,132.0,12.0
31318,Area Sales Manager,V Support Solutions,"Coimbatore, Tamil Nadu, India",Be an early applicant,2023-03-16,Associate,Sales and Business Development,Full-time,Business Consulting and Services,54352.0,100260.0,4877.0,,8.0
31319,SRE,IBM,"Kochi, Kerala, India",Be an early applicant,2023-04-06,Not Applicable,Other,Full-time,Computer Hardware Manufacturing,,91533.0,766.0,376.0,7.0
31320,FT Virtual Assistant (Work From Home),Growth Cave,"South Bend, IN",Be an early applicant,2023-04-08,Entry level,Administrative,Full-time,Advertising Services,128227.0,173224.0,,417.0,7.0
31321,"
            
        Executive- SEO Content Writer
      
          ","
            Zupee
          ","
            Gurugram, Haryana, India
          ","
         Actively Hiring
      ",2023-02-21,"
            Executive
          ","
            Marketing, Sales, and Advertising
          ","
          Contract
        ","
          Entertainment Providers
          ",47611.0,53232.0,2363.0,299.0,11.0
31322,"
            
        YW-行政主管
      
          ","
            上海细胞治疗集团
          ","
            Shanghai, Shanghai, China
          ","
         Be an early applicant
      ",2023-03-08,"
            Not Applicable
          ","
            Project Management and Information Technology
          ","
        
          Employment type
        
        
          Full-time
        
      ","
          Manufacturing
          ",122547.0,163912.0,1204.0,440.0,
31323,"
            
        Human Resources (HR) Generalist
      
          ","
            Accoona Global
          ","
            Pune, Maharashtra, India
          ","
         Be an early applicant
      ",2023-01-23,"
            Associate
          ","
            Human Resources
          ","
          Full-time
        ","
          IT Services and IT Consulting
          ",,188828.0,382.0,,
31324,"
            
        Brand Manager
      
          ","
            Simple Mills
          ","
            Chicago, IL
          ","
         Be an early applicant
      ",2023-03-08,"
            Not Applicable
          ","
            Advertising, Management, and Marketing
          ","
          Full-time
        ","
          Food and Beverage Services, Manufacturing, and Retail
          ",81354.0,92158.0,1163.0,461.0,
31325,Embedded Firmware Engineer,Emonics LLC,"Spring, TX",Be an early applicant,2023-02-15,Entry level,Engineering,Contract,"Appliances, Electrical, and Electronics Manufacturing",130673.0,179205.0,,422.0,13.0
31326,Product Manager,Amcom International,"Swansea, Wales, United Kingdom",Be an early applicant,2023-04-04,Entry level,Product Management and Marketing,Full-time,IT Services and IT Consulting,54342.0,94570.0,2828.0,19.0,14.0
31327,Junior Full-stack Developer,Airship,"Sheffield, England, United Kingdom",Be an early applicant,2023-04-28,Mid-Senior level,Engineering,Full-time,"Technology, Information and Internet",,66808.0,893.0,235.0,10.0
31328,Copy Writer,Albatronix HR Solutions,"Bengaluru North, Karnataka, India",Be an early applicant,2023-04-11,Mid-Senior level,"Marketing, Public Relations, and Writing/Editing",Full-time,Human Resources Services,61053.0,102152.0,,187.0,13.0
31329,"Lead Firmware Engineer, Connectivity and Sensing",Allegion,Greater Indianapolis,Be an early applicant,2023-03-29,Mid-Senior level,Engineering and Information Technology,Full-time,"Appliances, Electrical, and Electronics Manufacturing",197232.0,210693.0,2585.0,212.0,1.0
31330,HR Business Partner - Benefits Experience Required!!,Vaco,"Blue Ash, OH",Be an early applicant,2023-04-10,Entry level,Human Resources,Full-time,Wellness and Fitness Services,129403.0,146032.0,1829.0,338.0,14.0
31331,Pricing Data Scientist,Auto & General Australia,"Brisbane, Queensland, Australia",Be an early applicant,2023-03-28,Entry level,Engineering and Information Technology,Full-time,Retail,138699.0,,,363.0,0.0
31332,Sr. Legal Officer (Sr. Legal Officer),Air Liquide,"Delhi, Delhi, India",Actively Hiring,2023-04-19,Mid-Senior level,Legal,Contract,Security and Investigations,64233.0,109288.0,978.0,3.0,9.0
31333,"
            
        Vice President of Human Resources
      
          ","
            Axe Staffing & Recruiting
          ","
            Mumbai, Maharashtra, India
          ","
         Actively Hiring
      ",2023-04-19,"
            Director
          ","
            Other
          ","
          Full-time
        ","
          Business Consulting and Services
          ",133055.0,164205.0,1606.0,350.0,0.0
31334,Executive Assistant to Chief Executive Officer,SIMPLER Hair Color,Dallas-Fort Worth Metroplex,"Actively Hiring
           +5�benefits",2023-04-23,Associate,Administrative and General Business,Full-time,Non-profit Organizations,34980.0,,994.0,347.0,9.0
31335,"
            
        Software Engineer
      
          ","
            NIRA
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-03-09,"
            Entry level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Entertainment Providers
          ",62355.0,102013.0,3768.0,327.0,
31336,Senior Data Scientist,Recruiting from Scratch,"Austin, CA",Be an early applicant,2023-02-28,Mid-Senior level,Engineering and Information Technology,Full-time,Staffing and Recruiting,143459.0,177928.0,1660.0,392.0,11.0
31337,Entry level,Insurify,"Cambridge, MA",Be an early applicant,2023-03-20,,"Marketing, Public Relations, and Writing/Editing",Full-time,Marketing Services,74299.0,,3378.0,,12.0
31338,Embedded AutoSAR Engineer (MI or IN),Aptiv,"Carmel, IN",Actively Hiring,2023-03-29,Mid-Senior level,Engineering,Full-time,Motor Vehicle Manufacturing,146143.0,177289.0,1976.0,374.0,12.0
31339,"
            
        Director - Procurement
      
          ","
            Novo Nordisk
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-03-29,"
            Director
          ","
            Business Development and Sales
          ","
          Full-time
        ","
          Financial Services
          ",185037.0,202838.0,1670.0,176.0,5.0
31340,Senior Manager or Director/ Data Scientist | Multiple Locations,Deloitte,"Sydney, New South Wales, Australia",Actively Hiring,2023-04-18,Associate,Engineering and Information Technology,Full-time,"IT Services and IT Consulting, Computer and Network Security, and Technology, Information and Internet",147544.0,159811.0,3526.0,315.0,7.0
31341,General Manager,TipTopJob,"London, England, United Kingdom",Be an early applicant,2023-04-03,Director,Marketing,Full-time,Advertising Services,166415.0,188342.0,4932.0,389.0,5.0
31342,"
            
        Front end web developer with HTML and JavaScript
      
          ","
            ZSoft Technologies Pty Ltd
          ","
            Canberra, Australian Capital Territory, Australia
          ",Be an early applicant,2023-03-23,"
            Not Applicable
          ","
            Engineering
          ","
          Full-time
        ","
          Technology, Information and Internet
          ",89022.0,106538.0,3117.0,3.0,13.0
31343,Product Manager,EMR | Specialist in Marketing Recruitment,"Clerkenwell, England, United Kingdom",Actively Hiring,2023-04-05,Mid-Senior level,Product Management and Marketing,Full-time,"Technology, Information and Internet",154618.0,185338.0,1707.0,323.0,1.0
31344,"
            
        Director of Sales and Marketing
      
          ","
            Jack Laurie Group
          ","
            Indianapolis, IN
          ","
         Be an early applicant
      ",2023-03-02,"
            Director
          ","
            Sales and Business Development
          ","
          Full-time
        ","
          Facilities Services
          ",34044.0,72231.0,1078.0,304.0,
31345,Full Stack Developer,Antal International,"Bengaluru East, Karnataka, India",Actively Hiring,2022-12-09,Mid-Senior level,Engineering and Information Technology,Full-time,Banking,192495.0,,4337.0,257.0,1.0
31346,"
            
        Executive Assistant
      
          ","
            HAIL Partners
          ","
            London, England, United Kingdom
          ","
         Actively Hiring
      ",2023-03-10,"
            Mid-Senior level
          ","
            Administrative
          ","
          Full-time
        ","
          Advertising Services
          ",118822.0,131420.0,3006.0,89.0,8.0
31347,Senior Decision Scientist,Amplifi Capital,"London, England, United Kingdom",Be an early applicant,2023-04-05,Entry level,Engineering and Information Technology,Contract,Staffing and Recruiting,116352.0,126971.0,2315.0,482.0,0.0
31348,"Research Fellow, Ecohydrologist and Data Science",University of the Sunshine Coast,"Sunshine Coast, Queensland, Australia",Be an early applicant,2023-04-05,Entry level,Engineering and Information Technology,Full-time,International Trade and Development,,203433.0,4779.0,444.0,10.0
31349,Marketing Copywriter EU/DE (w/m/d),Your Super,"Berlin, Berlin, Germany",Be an early applicant,2023-04-07,Entry level,Marketing,Full-time,Manufacturing,49719.0,93077.0,292.0,219.0,4.0
31350,Business Manager,Healius Limited,"North Ryde, New South Wales, Australia",Actively Hiring,2023-04-12,Not Applicable,Sales and Business Development,Full-time,Government Administration,192167.0,,2775.0,296.0,4.0
31351,General Manager,COREcruitment Ltd,"London, England, United Kingdom",Be an early applicant,2023-03-24,Mid-Senior level,"Management, Sales, and Human Resources",Full-time,"Restaurants, Food and Beverage Services, and Hospitality",85020.0,113935.0,405.0,476.0,3.0
31352,Artificial Intelligence Engineer (EOI),DEWC Services,"Adelaide, South Australia, Australia",Be an early applicant,2023-04-05,Entry level,Engineering and Information Technology,Full-time,"Technology, Information and Internet",163451.0,205356.0,372.0,376.0,14.0
31353,Junior Software Engineer,Patterned Learning AI,"San Francisco, CA",Be an early applicant,2023-04-10,Mid-Senior level,Engineering and Information Technology,Full-time,"Technology, Information and Internet",176594.0,182718.0,3173.0,298.0,
31354,Software Engineer - Python and K8s,Canonical,"Sydney, New South Wales, Australia",Be an early applicant,2023-04-02,Not Applicable,Management and Manufacturing,Full-time,"Banking, Financial Services, and Accounting",184179.0,227085.0,3660.0,332.0,2.0
31355,Vice President of Engineering,The Voleon Group,"Berkeley, CA",Actively Hiring,2023-01-23,Executive,Engineering and Information Technology,Full-time,Investment Management,84692.0,110042.0,4548.0,416.0,0.0
31356,HR COORDINATOR- HUMAN RESOURCES (FULL TIME),UHS,"Washington, DC",Be an early applicant,2023-04-07,Not Applicable,Human Resources,Full-time,Mental Health Care and Hospitals and Health Care,115939.0,,4922.0,159.0,3.0
31357,BLOCKCHAIN ORCHESTRATION,Zensar Technologies,"Pune, Maharashtra, India",Actively Hiring,2023-04-07,Entry level,Engineering and Information Technology,Full-time,IT Services and IT Consulting,72571.0,111793.0,4611.0,153.0,3.0
31358,"
            
        Project Engineers
      
          ","
            DOF
          ","
            Perth, Western Australia, Australia
          ",Actively Hiring,2022-12-02,"
            Not Applicable
          ","
            Engineering
          ","
          Full-time
        ","
          Technology, Information and Internet
          ",27872.0,49478.0,3430.0,50.0,10.0
31359,"
            
        Machine Learning Engineer
      
          ","
            Michelin
          ","
            Pune, Maharashtra, India
          ","
         Actively Hiring
      ",2023-03-16,"
            Not Applicable
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Motor Vehicle Manufacturing, Research Services, and Truck Transportation
          ",126288.0,164785.0,2599.0,232.0,
31360,Clink Communication - Content Writer,Clink Communications,"Navi Mumbai, Maharashtra, India",Be an early applicant,2023-03-16,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,Human Resources Services,155689.0,168994.0,2596.0,89.0,10.0
31361,Data Scientist (Remote),Hire Digital,"Melbourne, Victoria, Australia",Be an early applicant,2023-03-29,Mid-Senior level,Engineering and Information Technology,Part-time,Internet Publishing,46323.0,,,238.0,3.0
31362,"
            
        HR Business Partner
      
          ","
            TAFE - Tractors and Farm Equipment Limited
          ","
            Chennai, Tamil Nadu, India
          ",Be an early applicant,2023-02-01,"
            Mid-Senior level
          ","
            Human Resources
          ","
          Full-time
        ","
          Staffing and Recruiting
          ",67719.0,74387.0,1254.0,,12.0
31363,Marketing Manager,Freemavens,"London, England, United Kingdom",Be an early applicant,2023-02-28,Mid-Senior level,Marketing,Full-time,"Technology, Information and Internet",37534.0,74650.0,3011.0,369.0,10.0
31364,"
            
        Solutions Architect
      
          ","
            Eureka Forbes Ltd
          ","
            Gurugram, Haryana, India
          ","
         Actively Hiring
      ",2023-03-14,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting
          ",160061.0,203097.0,4236.0,91.0,
31365,English Copywriter,Ankorstore,Brabantine City Row,"
         Actively Hiring
      ",2023-04-14,Mid-Senior level,Writing/Editing,Full-time,"Technology, Information and Internet",,217024.0,2309.0,132.0,13.0
31366,"
            
        Data Scientist (Gaming)
      
          ","
            Audify
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-03-03,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Technology, Information and Internet
          ",135688.0,,2319.0,244.0,
31367,Big Data Engineer,IBM,"Bengaluru, Karnataka, India",Actively Hiring,2023-04-10,Not Applicable,Other,Full-time,Computer Hardware Manufacturing,45393.0,,4023.0,357.0,9.0
31368,DevOps Engineer (Linux / Ansible / AWS) [Remote],Braintrust,"Austin, TX",Actively Hiring,2023-04-15,Entry level,Engineering and Information Technology,Full-time,"Technology, Information and Internet",71094.0,87399.0,,,0.0
31369,Mid-Senior level,PRECISIONvalue,"New York, NY",Actively Hiring,2023-04-18,,"Marketing, Public Relations, and Writing/Editing",Full-time,Pharmaceutical Manufacturing,81850.0,98817.0,14.0,,7.0
31370,"
            
        Machine Learning Engineer
      
          ","
            Zoom
          ","
            United States
          ","
         Actively Hiring
      ",2023-03-28,"
            Not Applicable
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting
          ",84426.0,,3432.0,64.0,10.0
31371,Senior Process Researcher,Shell,"Bengaluru, Karnataka, India",Actively Hiring,2023-04-13,Not Applicable,"Research, Analyst, and Information Technology",Full-time,Oil and Gas,26467.0,54818.0,994.0,308.0,0.0
31372,"
            
        Data Analyst-BI
      
          ","
            Excellence and Eminence LLP
          ","
            Bengaluru North, Karnataka, India
          ","
         Actively Hiring
      ",2023-02-23,"
            Associate
          ","
            Other
          ","
          Full-time
        ",,43673.0,57858.0,4633.0,334.0,
31373,Data Engineer (m/w/d) im Banking-Umfeld,IBM,"Cologne, North Rhine-Westphalia, Germany",Be an early applicant,2023-04-05,Not Applicable,Other,Full-time,Computer Hardware Manufacturing,,191889.0,,321.0,9.0
31374,"
            
        Assistant Project Manager
      
          ","
            GMA Construction Group | Griggs Mitchell & Alma of IL, LLC
          ","
            Greater Chicago Area
          ","
         Actively Hiring
           +4 benefits
      ",2023-02-17,"
            Director
          ","
            Other
          ","
          Full-time
        ","
          Construction
          ",190925.0,225334.0,1033.0,42.0,13.0
31375,Packaging Designer,Majesty Brands,"New York, NY","Actively Hiring
           +3�benefits",2023-03-24,Mid-Senior level,Information Technology,Full-time,"Technology, Information and Internet",159365.0,186872.0,184.0,434.0,1.0
31376,Not Applicable,Creative Cove Inc.,"Wellesley, MA",Be an early applicant,2023-04-28,,"Marketing, Public Relations, and Writing/Editing",Full-time,Manufacturing,198432.0,247694.0,4777.0,132.0,10.0
31377,DevOps Developer,IBM,"Bengaluru East, Karnataka, India",Actively Hiring,2023-04-08,Not Applicable,Information Technology,Full-time,Computer Hardware Manufacturing,187267.0,223301.0,3408.0,118.0,7.0
31378,"
            
        Software Developer
      
          ","
            Chain-Sys Corporation
          ","
            Bengaluru North, Karnataka, India
          ","
         Actively Hiring
      ",2023-02-21,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Data Infrastructure and Analytics
          ",108695.0,156393.0,4476.0,29.0,1.0
31379,"
            
        Executive Assistant
      
          ","
            University of Cambridge
          ","
            Cambridge, England, United Kingdom
          ","
         Be an early applicant
      ",2023-02-25,"
            Mid-Senior level
          ","
            Administrative
          ","
          Full-time
        ","
          IT Services and IT Consulting, Software Development, and Financial Services
          ",,186862.0,722.0,297.0,12.0
31380,HR Coordinator,Boise State University,"Boise, ID",Be an early applicant,2023-04-08,Mid-Senior level,Human Resources,Full-time,Electric Power Generation,77974.0,104825.0,3993.0,413.0,9.0
31381,ReactJS Developer,CareCone Group,"Melbourne, Victoria, Australia",Actively Hiring,2023-04-28,Mid-Senior level,Information Technology,Contract,"IT Services and IT Consulting, Information Services, and Telecommunications",78324.0,124642.0,,188.0,0.0
31382,Data Scientist - Machine Learning,Made Talent,"Bristol, England, United Kingdom",Actively Hiring,2023-04-20,Entry level,Engineering and Information Technology,Full-time,Insurance,68717.0,113078.0,990.0,406.0,13.0
31383,General Manager,RHR,"Blyth, England, United Kingdom",Be an early applicant,2023-03-23,Mid-Senior level,"Manufacturing, Production, and Supply Chain",Full-time,"Food and Beverage Manufacturing, Manufacturing, and Beverage Manufacturing",135931.0,168329.0,1906.0,,
31384,Mid-Senior level,The US Sun,"New York, NY",Actively Hiring,2023-04-19,,"Marketing, Design, and Sales",Full-time,Financial Services,88213.0,114586.0,3349.0,437.0,6.0
31385,Full-Stack Software Engineer at AI-Startup in Manufacturing Industry (100% Work-Life-Balance),Imnoo,"Glattbrugg, Zurich, Switzerland",Actively Hiring,2022-06-03,Mid-Senior level,Information Technology,Full-time,"Technology, Information and Internet",35221.0,84124.0,314.0,399.0,1.0
31386,"
            
        Director of Business Development - India | Global Fintech
      
          ","
            Michael Page
          ","
            Bengaluru East, Karnataka, India
          ","
         Actively Hiring
      ",2022-06-03,"
            Executive
          ","
            Human Resources
          ","
          Full-time
        ","
          Staffing and Recruiting
          ",103647.0,115737.0,4445.0,,2.0
31387,Lead Engineer,IBM,"Gurgaon, Haryana, India",Be an early applicant,2023-03-24,,,,,55231.0,,2359.0,,14.0
31388,Product Manager,Morgan Philips Group,"Strathclyde Business Park, Scotland, United Kingdom",Be an early applicant,2023-03-30,Entry level,Product Management and Marketing,Full-time,Retail,148647.0,165239.0,343.0,468.0,
31389,AI Engineer,CollabKit,"London, England, United Kingdom",Be an early applicant,2023-04-03,Entry level,Engineering and Information Technology,Full-time,Insurance,73477.0,111851.0,616.0,260.0,11.0
31390,"LC-MS/MS Analyst,Technologist I (1st Shift)",Labcorp,"Indianapolis, IN",Be an early applicant,2023-04-14,Entry level,Business Development and Sales,Full-time,Hospitals and Health Care,134309.0,165627.0,673.0,177.0,11.0
31391,FULL STACK DEVELOPER,Blue Ocean Ventures,"Bengaluru, Karnataka, India",Be an early applicant,2022-10-18,Entry level,Engineering and Information Technology,Full-time,Staffing and Recruiting,41196.0,52274.0,1089.0,460.0,2.0
31392,Embedded Engineer with Automotive domain experience,ZETTALOGIX INC,"Plano, TX",Be an early applicant,2023-04-12,Mid-Senior level,Engineering and Information Technology,Contract,IT Services and IT Consulting,188439.0,213387.0,596.0,438.0,2.0
31393,"
            
        Executive Assistant
      
          ","
            Hertility
          ","
            London Area, United Kingdom
          ",Be an early applicant,2023-02-21,"
            Associate
          ","
            Administrative
          ","
          Full-time
        ","
          Technology, Information and Internet
          ",31272.0,44357.0,486.0,109.0,
31394,Senior Product Engineer,Dunya Labs,"Bengaluru North, Karnataka, India",Be an early applicant,2022-07-22,Mid-Senior level,Engineering and Information Technology,Full-time,IT Services and IT Consulting,134539.0,167852.0,3931.0,255.0,6.0
31395,Full Stack Developer,Simplify360,"Bengaluru, Karnataka, India",Actively Hiring,2023-02-10,Entry level,Engineering and Information Technology,Full-time,"IT Services and IT Consulting, Software Development, and Technology, Information and Internet",52765.0,86874.0,659.0,377.0,2.0
31396,Junior Frontend Developer,Optimove,"Dundee, Scotland, United Kingdom",Be an early applicant,2023-04-04,Mid-Senior level,Engineering,Full-time,"Technology, Information and Internet",138227.0,173588.0,1565.0,,3.0
31397,Copywriter,Acture Media,"Mumbai, Maharashtra, India",Be an early applicant,2023-04-04,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,Advertising Services,167276.0,216608.0,3804.0,404.0,3.0
31398,Corporate Lawyer - SaaS,HR Consultancy,"Bengaluru, Karnataka, India",Be an early applicant,2023-03-28,Not Applicable,Legal,Full-time,Financial Services,112117.0,153231.0,,,
31399,Entry level,Creative Cove Inc.,"Groveport, OH",Actively Hiring,2023-04-25,,"Marketing, Public Relations, and Writing/Editing",Full-time,Marketing Services,80829.0,120178.0,1917.0,399.0,12.0
31400,?????????????? ???(BSW/??????????)????????????????,,"Osaka, Osaka, Japan",Be an early applicant,2023-02-27,Not Applicable,Engineering,Full-time,"IT Services and IT Consulting and Technology, Information and Internet",133605.0,159049.0,4071.0,167.0,6.0
31401,"
            
        AI/ML data Engineer at Remote
      
          ","
            Diverse Lynx
          ","
            United States
          ","
         Be an early applicant
      ",2023-03-22,"
            Entry level
          ","
            Information Technology
          ","
          Full-time
        ","
          Software Development
          ",86732.0,122361.0,4430.0,388.0,11.0
31402,Senior Data Scientist,Recruiting from Scratch,"Menlo Park, CA",Be an early applicant,2023-02-28,Mid-Senior level,Engineering and Information Technology,Full-time,Staffing and Recruiting,,214393.0,1021.0,,2.0
31403,HR Business Partner - Benefits Experience Required!!,Vaco,"Blue Ash, OH",Be an early applicant,2023-04-10,Mid-Senior level,Administrative,Contract,Chemical Manufacturing,49890.0,88404.0,,301.0,7.0
31404,Artificial Intelligence / Machine Learning,Kinexus Australia,"Canberra, Australian Capital Territory, Australia",Be an early applicant,2023-04-03,Mid-Senior level,Engineering and Information Technology,Full-time,IT Services and IT Consulting,150410.0,179712.0,3729.0,479.0,8.0
31405,Python & ReactJS Developer Internship,Hoxlp Recruitment & Staffing,"Melbourne, Victoria, Australia",Be an early applicant,2023-04-15,Not Applicable,Information Technology,Full-time,IT Services and IT Consulting,155019.0,190085.0,781.0,220.0,10.0
31406,Copywriter,Hire Digital,"Sofia, Sofia City, Bulgaria",Actively Hiring,2023-01-27,Mid-Senior level,"Marketing, Public Relations, and Writing/Editing",Temporary,Internet Publishing,161040.0,176491.0,1964.0,58.0,5.0
31407,Machine Learning Engineer,Metrica Recruitment,"Cambridge, England, United Kingdom",Be an early applicant,2023-04-02,Entry level,Engineering and Information Technology,Full-time,Insurance,69673.0,99028.0,1047.0,297.0,5.0
31408,Executive Assistant � West Elm,West Elm,"Brooklyn, NY",Actively Hiring,2023-04-24,Mid-Senior level,Administrative,Full-time,"IT Services and IT Consulting, Venture Capital and Private Equity Principals, and Financial Services",171196.0,215219.0,2027.0,381.0,0.0
31409,Software Engineer,"Wifi Dabba, Inc.","Bengaluru, Karnataka, India",Actively Hiring,2023-02-13,Entry level,Engineering and Information Technology,Full-time,"Computer Hardware Manufacturing, Software Development, and Computer Networking Products",179228.0,186889.0,3291.0,179.0,10.0
31410,Big Data Engineer - E4504,Nisum,"Hyderabad, Telangana, India",Actively Hiring,2023-03-28,Entry level,Engineering and Information Technology,Full-time,IT Services and IT Consulting,51238.0,97151.0,4134.0,244.0,
31411,Full Stack Developer,Vivid Mortgages Inc,"New York, NY",Actively Hiring,2023-04-05,Mid-Senior level,Engineering and Information Technology,Full-time,Internet Publishing,27697.0,40172.0,4470.0,,6.0
31412,"
            
        QA / Manual Tester
      
          ","
            Unnati
          ","
            Delhi, Delhi, India
          ","
         Actively Hiring
      ",2023-01-20,"
            Mid-Senior level
          ","
            Engineering
          ","
          Full-time
        ","
          IT Services and IT Consulting
          ",89009.0,107938.0,3881.0,168.0,9.0
31413,"
            
        Project Manager I
      
          ","
            Element Consulting, Inc.
          ","
            Los Angeles, CA
          ","
         Actively Hiring
      ",2023-02-22,,"
            Project Management and Information Technology
          ","
          Full-time
        ","
          Internet Publishing
          ",131690.0,181565.0,1483.0,129.0,5.0
31414,Assistant Manager -Front Office ( Local Candidates Only ),,"Melbourne, Victoria, Australia",Be an early applicant,2023-04-01,Mid-Senior level,Legal,Full-time,Medical Practices,74020.0,91594.0,495.0,349.0,4.0
31415,Lead Data Scientist,Woolworths Group,"Sydney, New South Wales, Australia",Be an early applicant,2023-03-28,Mid-Senior level,Engineering and Information Technology,Full-time,Retail,157723.0,188985.0,1080.0,309.0,5.0
31416,Senior Content Writer - Apparel,R2R Consultants LLP,"Mumbai, Maharashtra, India",Be an early applicant,2023-03-28,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,Staffing and Recruiting,37411.0,49648.0,4139.0,51.0,5.0
31417,Full Stack Developer,Prevail Health,"Chicago, IL",Be an early applicant,2023-04-07,Entry level,Engineering and Information Technology,Full-time,Software Development,51342.0,76616.0,3408.0,132.0,2.0
